game_ID,year,host_country,stage,team,pre_penalties_score,won,winner_took_first_penalty,penalty_round,kick_in_round,penalty_scored,penalty_kicker
19,2006,Germany,Quarter-finals,Portugal,0,True,True,5,1,True,Cristiano Ronaldo
20,2006,Germany,Final,Italy,1,True,True,5,1,True,Fabio Grosso
21,2010,South Africa,Second round,Paraguay,0,True,True,5,1,True,Óscar Cardozo
22,2010,South Africa,Quarter-finals,Uruguay,1,True,True,5,1,True,Sebastián Abreu
23,2014,Brazil,Second round,Brazil,1,True,True,5,1,True,Neymar
24,2014,Brazil,Second round,Costa Rica,1,True,True,5,1,True,Michael Umaña
28,2018,Russia,Second round,Croatia,1,True,False,5,2,True,Ivan Rakitić
29,2018,Russia,Second round,England,1,True,False,5,2,True,Eric Dier
30,2018,Russia,Quarter-finals,Croatia,2,True,False,5,2,True,Ivan Rakitić
1,1982,Spain,Semi-finals,France,3,False,False,5,1,True,Michel Platini
2,1986,Mexico,Quarter-finals,Brazil,1,False,False,5,1,False,Júlio César
4,1986,Mexico,Quarter-finals,Spain,1,False,False,5,1,True,Víctor Muñoz
5,1990,Italy,Second round,Romania,0,False,False,5,1,False,Daniel Timofte
6,1990,Italy,Quarter-finals,Yugoslavia,0,False,True,5,2,False,Faruk Hadžibegić
7,1990,Italy,Quarter-finals,Italy,1,False,False,5,1,False,Aldo Serena
8,1990,Italy,Quarter-finals,England,1,False,False,5,1,False,Chris Waddle
10,1994,USA,Quarter-finals,Romania,2,False,True,5,2,True,Ilie Dumitrescu
11,1994,USA,Final,Italy,0,False,False,5,1,False,Roberto Baggio
12,1998,France,Second round,England,2,False,True,5,2,False,David Batty
13,1998,France,Quarter-finals,Italy,0,False,True,5,2,False,Luigi Di Biagio
15,2002,Korea/Japan,Second round,Republic of Ireland,1,False,False,5,1,True,Steve Finnan
23,2014,Brazil,Second round,Chile,1,False,True,5,2,False,Gonzalo Jara
25,2014,Brazil,Quarter-finals,Costa Rica,0,False,False,5,1,False,Michael Umaña
27,2018,Russia,Second round,Spain,1,False,False,5,1,False,Iago Aspas
28,2018,Russia,Second round,Denmark,1,False,False,5,1,False,Nicolai Jørgensen
29,2018,Russia,Second round,Colombia,1,False,False,5,1,False,Carlos Bacca
30,2018,Russia,Quarter-finals,Russia,2,False,False,5,1,True,Daler Kuzyayev
1,1982,Spain,Semi-finals,West Germany,3,True,False,6,2,True,Horst Hrubesch
10,1994,USA,Quarter-finals,Sweden,2,True,True,6,1,True,Henrik Larsson
1,1982,Spain,Semi-finals,France,3,False,False,6,1,False,Maxime Bossis
10,1994,USA,Quarter-finals,Romania,2,False,True,6,2,False,Miodrag Belodedici
